,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_positive,param_n_jobs,param_fit_intercept,param_copy_X,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.00047621726989746096,8.367766650453119e-05,0.0002875566482543945,8.23221377025165e-05,True,-1,False,True,"{'positive': True, 'n_jobs': -1, 'fit_intercept': False, 'copy_X': True}",-48839669302769.9,-89795794547701.61,-57761703192106.18,-109885255423847.83,-0.22983576978936063,-0.5372228721169278,-54106465085608.71,-0.6556741220319523,-48911514189410.67,-0.341834971214567,-40930040174144.664,37982819312242.164,1
1,0.0004661083221435547,5.610774889426348e-05,0.00023152828216552735,4.4369364475350754e-05,False,-1,False,True,"{'positive': False, 'n_jobs': -1, 'fit_intercept': False, 'copy_X': True}",-49231902523900.34,-89136617709499.53,-57761703192106.164,-112227794131331.1,-0.23013381806292896,-0.5356275716686021,-54816612716229.56,-0.6604515941113038,-48671900182068.8,-0.3421036326834375,-41184653045513.73,38357095049378.586,2
2,0.0004121065139770508,3.13674504529208e-05,0.00020976066589355468,1.9136800584629793e-05,True,-1,True,True,"{'positive': True, 'n_jobs': -1, 'fit_intercept': True, 'copy_X': True}",-55604265117828.93,-109581044680482.64,-59987060349740.62,-121728269900629.08,-0.22232097152205924,-0.5052527431065456,-59175770523337.445,-0.776126851845487,-53249234376774.18,-0.32205601184552823,-45932564494879.47,43307397431552.336,3
3,0.000505828857421875,2.7711214116512145e-05,0.00021736621856689454,1.0387528393018927e-05,False,-1,True,True,"{'positive': False, 'n_jobs': -1, 'fit_intercept': True, 'copy_X': True}",-58483695894648.625,-108231172295376.77,-57525815339234.44,-125443800109579.88,-0.22602906133794315,-0.5074261836219617,-59609592755826.09,-0.7795441287248769,-54631907350041.44,-0.31783876022291846,-46392598374470.91,43811999233286.01,4
